
SetupTitle, I/V Sweep
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.XAxis.Data, Vg
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, -1
TestParameter, Output.Graph.YAxis.Data, Id, Ig
TestParameter, Output.Graph.YAxis.Scale, Log, Log
TestParameter, Output.Graph.YAxis.Bottom, 1E-12, 1E-12
TestParameter, Output.Graph.YAxis.Top, 0.1, 1E-07
TestParameter, Output.Graph.YAxis.Group, , 
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 03/24/2015 20:03:44
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 76
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 709c7594-9644-470b-8d27-d32b0ae97c53
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vg
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, -0.9
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Id, Ig
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, -0.01, -1E-10
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, -1E-12, -1E-13
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.7142857142857143
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.45
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.7142857142857143
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.45
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.7142857142857143
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.45
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.7142857142857143
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.45
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.7142857142857143
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.45
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, Vg: [ 500 m, -900 m] V / 101; Ig: 100 nA	Vd: -500 mV; Id: 100 mA	Vs: 0 V; Is: 100 mA
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, I/V Sweep
Dimension1, 202, 202, 202
Dimension2, 1, 1, 1
DataName, Vg, Id, Ig
DataValue, 0.5, -2.2460000000000002E-11, 1.4390000000000002E-11
DataValue, 0.48600000000000004, -1.1550000000000002E-11, 1.17E-11
DataValue, 0.47200000000000003, -1.147E-11, 1.1660000000000002E-11
DataValue, 0.458, -1.239E-11, 1.0510000000000001E-11
DataValue, 0.444, -1.3370000000000001E-11, 8.43E-12
DataValue, 0.43, -1.515E-11, 7.34E-12
DataValue, 0.41600000000000004, -1.6360000000000002E-11, 6.45E-12
DataValue, 0.402, -1.721E-11, 4.18E-12
DataValue, 0.388, -1.8580000000000002E-11, 3.86E-12
DataValue, 0.374, -1.923E-11, 2.34E-12
DataValue, 0.36000000000000004, -1.999E-11, -2.6E-13
DataValue, 0.34600000000000003, -2.1910000000000002E-11, -3.72E-12
DataValue, 0.332, -2.098E-11, -6.3900000000000008E-12
DataValue, 0.318, -2.0680000000000003E-11, -5.94E-12
DataValue, 0.304, -2.0170000000000003E-11, -7.26E-12
DataValue, 0.29000000000000004, -1.934E-11, -7.39E-12
DataValue, 0.276, -1.823E-11, -6.9800000000000006E-12
DataValue, 0.262, -1.7560000000000002E-11, -7.4E-12
DataValue, 0.248, -1.597E-11, -8.2800000000000011E-12
DataValue, 0.234, -1.4500000000000002E-11, -6.7700000000000004E-12
DataValue, 0.22, -1.2750000000000001E-11, -8.3700000000000009E-12
DataValue, 0.20600000000000002, -1.127E-11, -7.4E-12
DataValue, 0.192, -9.36E-12, -7.16E-12
DataValue, 0.17800000000000002, -7.0300000000000005E-12, -7.4700000000000011E-12
DataValue, 0.164, -3.71E-12, -6.51E-12
DataValue, 0.15, -3.5400000000000003E-12, -7.01E-12
DataValue, 0.136, -2.8300000000000003E-12, -5.9E-12
DataValue, 0.12200000000000001, -1.59E-12, -6.0200000000000006E-12
DataValue, 0.108, -3.15E-12, -5.4000000000000004E-12
DataValue, 0.094, -3.81E-12, -5.4500000000000004E-12
DataValue, 0.08, -6.8400000000000007E-12, -4.4900000000000005E-12
DataValue, 0.066, -1.3240000000000001E-11, -4.6100000000000008E-12
DataValue, 0.052000000000000005, -2.3190000000000003E-11, -2.74E-12
DataValue, 0.038, -4.243E-11, -2.1500000000000003E-12
DataValue, 0.024, -7.268E-11, -1.3300000000000002E-12
DataValue, 0.01, -1.2196E-10, -1.3900000000000001E-12
DataValue, -0.004, -2.0167E-10, -6.400000000000001E-13
DataValue, -0.018000000000000002, -3.2925000000000003E-10, 2.79E-12
DataValue, -0.032, -5.3725000000000008E-10, 4.4400000000000005E-12
DataValue, -0.046, -8.6655000000000007E-10, 4.97E-12
DataValue, -0.060000000000000005, -1.3799E-09, -5.1600000000000006E-12
DataValue, -0.07400000000000001, -2.1607E-09, -4.5500000000000006E-12
DataValue, -0.088000000000000009, -3.4204E-09, -6.14E-12
DataValue, -0.10200000000000001, -5.4267E-09, -5.55E-12
DataValue, -0.116, -8.5456E-09, -6.92E-12
DataValue, -0.13, -1.3760199999999998E-08, 7.1000000000000008E-12
DataValue, -0.14400000000000002, -2.17186E-08, -3.6000000000000003E-13
DataValue, -0.158, -3.2690799999999994E-08, -9.9300000000000015E-12
DataValue, -0.17200000000000001, -4.9750399999999994E-08, -5.38E-12
DataValue, -0.186, -7.8555999999999992E-08, 7.2000000000000008E-12
DataValue, -0.2, -1.2458E-07, 3.5E-13
DataValue, -0.21400000000000002, -1.9039999999999998E-07, -4.1000000000000007E-12
DataValue, -0.228, -2.9601999999999997E-07, -8.54E-12
DataValue, -0.24200000000000002, -4.584E-07, -9.1100000000000014E-12
DataValue, -0.256, -7.0914E-07, -9.33E-12
DataValue, -0.27, -1.111E-06, 1.5E-12
DataValue, -0.28400000000000003, -1.6673000000000001E-06, -3.0100000000000003E-12
DataValue, -0.298, -2.5161000000000004E-06, -6.19E-12
DataValue, -0.312, -3.7594000000000004E-06, -8.11E-12
DataValue, -0.326, -5.5699000000000007E-06, -1.045E-11
DataValue, -0.34, -8.2380000000000014E-06, -1.1620000000000001E-11
DataValue, -0.35400000000000004, -1.2034E-05, -9.490000000000001E-12
DataValue, -0.368, -1.7864E-05, -4.7600000000000007E-12
DataValue, -0.382, -2.6092E-05, 2.46E-12
DataValue, -0.396, -3.6698E-05, 5.8800000000000008E-12
DataValue, -0.41000000000000003, -5.0502E-05, 7.4E-12
DataValue, -0.42400000000000004, -6.7726000000000009E-05, 7.42E-12
DataValue, -0.438, -8.7712E-05, 4.73E-12
DataValue, -0.452, -0.00011248000000000001, -1.2730000000000001E-11
DataValue, -0.466, -0.00014528000000000002, -1.2550000000000001E-11
DataValue, -0.48000000000000004, -0.00018556, -1.0340000000000002E-11
DataValue, -0.49400000000000005, -0.00023566, -6.9800000000000006E-12
DataValue, -0.508, -0.00029292, -2.67E-12
DataValue, -0.522, -0.00035884, 1.09E-12
DataValue, -0.536, -0.00043042000000000004, 3.4100000000000002E-12
DataValue, -0.55, -0.00050788, 4.84E-12
DataValue, -0.56400000000000006, -0.00059218, 3.87E-12
DataValue, -0.57800000000000007, -0.00067794, 3.2600000000000002E-12
DataValue, -0.59200000000000008, -0.00076734, -1.7600000000000002E-12
DataValue, -0.606, -0.00086690000000000009, -7.74E-12
DataValue, -0.62, -0.00097250000000000006, -1.2560000000000001E-11
DataValue, -0.634, -0.0010845800000000001, -1.641E-11
DataValue, -0.648, -0.0012134000000000001, -4.38E-12
DataValue, -0.662, -0.0013292, -9.7300000000000016E-12
DataValue, -0.676, -0.0014558, -1.4370000000000001E-11
DataValue, -0.69000000000000006, -0.0015844000000000001, -1.7000000000000003E-11
DataValue, -0.70400000000000007, -0.0017236, -1.391E-11
DataValue, -0.71800000000000008, -0.001869, -7.85E-12
DataValue, -0.732, -0.0020112, -2.6600000000000004E-12
DataValue, -0.746, -0.0021436, -9.3E-13
DataValue, -0.76, -0.0022728, -1.04E-12
DataValue, -0.774, -0.00239, -4.0400000000000006E-12
DataValue, -0.788, -0.0025088000000000003, -9.35E-12
DataValue, -0.802, -0.0026218, -1.5870000000000002E-11
DataValue, -0.81600000000000006, -0.0027404, -2.112E-11
DataValue, -0.83000000000000007, -0.0028548000000000002, -2.4900000000000003E-11
DataValue, -0.84400000000000008, -0.0029638, -2.467E-11
DataValue, -0.8580000000000001, -0.003071, -2.205E-11
DataValue, -0.872, -0.0031698, -2.001E-11
DataValue, -0.886, -0.0032684, -1.677E-11
DataValue, -0.9, -0.0033566, -1.526E-11
DataValue, -0.9, -0.0033372000000000002, -3.037E-11
DataValue, -0.886, -0.0032502, -2.8450000000000003E-11
DataValue, -0.872, -0.0031650000000000003, -2.4680000000000002E-11
DataValue, -0.8580000000000001, -0.003074, -1.815E-11
DataValue, -0.84400000000000008, -0.0029786, -1.2020000000000001E-11
DataValue, -0.83000000000000007, -0.0028740000000000003, -7.45E-12
DataValue, -0.81600000000000006, -0.0027636, -4.57E-12
DataValue, -0.802, -0.0026420000000000003, -2.6100000000000004E-12
DataValue, -0.788, -0.0025118000000000002, -2.59E-12
DataValue, -0.774, -0.0023762, -5.0100000000000007E-12
DataValue, -0.76, -0.0022412, -9.5200000000000014E-12
DataValue, -0.746, -0.0021038, -1.5340000000000002E-11
DataValue, -0.732, -0.0019726, -1.6030000000000002E-11
DataValue, -0.71800000000000008, -0.0018486, -1.3E-11
DataValue, -0.70400000000000007, -0.0017204, -1.1140000000000001E-11
DataValue, -0.69000000000000006, -0.0015922, -6.2200000000000006E-12
DataValue, -0.676, -0.0014708, -1.26E-12
DataValue, -0.662, -0.001345, 1.6800000000000001E-12
DataValue, -0.648, -0.0012230000000000001, 3.58E-12
DataValue, -0.634, -0.0010998, 4.4000000000000006E-12
DataValue, -0.62, -0.00098252, -1.65E-12
DataValue, -0.606, -0.00087728, -1.13E-12
DataValue, -0.59200000000000008, -0.00077382, 2.4300000000000003E-12
DataValue, -0.57800000000000007, -0.00067858, 5.18E-12
DataValue, -0.56400000000000006, -0.00058344000000000007, 5.6200000000000007E-12
DataValue, -0.55, -0.00049318000000000007, 3.9300000000000004E-12
DataValue, -0.536, -0.00041170000000000003, 1.5000000000000002E-13
DataValue, -0.522, -0.00034104000000000003, -6.0200000000000006E-12
DataValue, -0.508, -0.00027882000000000004, -9.47E-12
DataValue, -0.49400000000000005, -0.00022582, -1.2270000000000002E-11
DataValue, -0.48000000000000004, -0.00018036000000000002, -1.188E-11
DataValue, -0.466, -0.00014332, -9.56E-12
DataValue, -0.452, -0.00011250000000000001, -5.69E-12
DataValue, -0.438, -8.3468000000000008E-05, -9.9900000000000009E-12
DataValue, -0.42400000000000004, -6.1922000000000008E-05, -1.1950000000000001E-11
DataValue, -0.41000000000000003, -4.568E-05, -1.1140000000000001E-11
DataValue, -0.396, -3.3978E-05, -7.7900000000000013E-12
DataValue, -0.382, -2.459E-05, -3.2900000000000003E-12
DataValue, -0.368, -1.776E-05, 1.51E-12
DataValue, -0.35400000000000004, -1.253E-05, 4.83E-12
DataValue, -0.34, -7.9574000000000011E-06, -9.6200000000000014E-12
DataValue, -0.326, -5.5193000000000007E-06, -7.1300000000000005E-12
DataValue, -0.312, -3.7589000000000006E-06, -4.0400000000000006E-12
DataValue, -0.298, -2.5345000000000005E-06, -1.3400000000000002E-12
DataValue, -0.28400000000000003, -1.6910000000000002E-06, 1.6600000000000002E-12
DataValue, -0.27, -1.1282E-06, 3.6900000000000006E-12
DataValue, -0.256, -6.8118E-07, -5.9300000000000008E-12
DataValue, -0.24200000000000002, -4.3908E-07, -8.61E-12
DataValue, -0.228, -2.8362E-07, -1.0330000000000001E-11
DataValue, -0.21400000000000002, -1.834E-07, -8.7900000000000011E-12
DataValue, -0.2, -1.2254E-07, -7.7800000000000012E-12
DataValue, -0.186, -8.15678E-08, 7.33E-12
DataValue, -0.17200000000000001, -5.2144399999999995E-08, -2.42E-12
DataValue, -0.158, -3.15742E-08, -9.67E-12
DataValue, -0.14400000000000002, -1.9447599999999998E-08, -5.44E-12
DataValue, -0.13, -1.2436199999999999E-08, 6.2800000000000007E-12
DataValue, -0.116, -8.0483E-09, -1.0200000000000001E-11
DataValue, -0.10200000000000001, -5.0849E-09, -9.4100000000000013E-12
DataValue, -0.088000000000000009, -3.2182E-09, -1.0420000000000001E-11
DataValue, -0.07400000000000001, -2.0305E-09, -1.0090000000000001E-11
DataValue, -0.060000000000000005, -1.2791E-09, -1.0210000000000001E-11
DataValue, -0.046, -7.9502E-10, -3.92E-12
DataValue, -0.032, -5.044E-10, -2.51E-12
DataValue, -0.018000000000000002, -3.2270000000000003E-10, -4.58E-12
DataValue, -0.004, -2.1003000000000002E-10, -3.48E-12
DataValue, 0.01, -1.3726E-10, -4.5900000000000004E-12
DataValue, 0.024, -9.1940000000000008E-11, -4.8500000000000005E-12
DataValue, 0.038, -6.3450000000000011E-11, -4.92E-12
DataValue, 0.052000000000000005, -4.6590000000000004E-11, -6.2400000000000009E-12
DataValue, 0.066, -3.46E-11, -5.5700000000000007E-12
DataValue, 0.08, -2.764E-11, -7.0500000000000009E-12
DataValue, 0.094, -2.2920000000000003E-11, -6.46E-12
DataValue, 0.108, -1.9800000000000002E-11, -7.1500000000000008E-12
DataValue, 0.12200000000000001, -1.8160000000000002E-11, -8.21E-12
DataValue, 0.136, -1.652E-11, -7.73E-12
DataValue, 0.15, -1.524E-11, -7.4E-12
DataValue, 0.164, -1.4260000000000001E-11, -7.6600000000000009E-12
DataValue, 0.17800000000000002, -1.4610000000000002E-11, -7.27E-12
DataValue, 0.192, -1.442E-11, -5.3000000000000004E-12
DataValue, 0.20600000000000002, -1.4380000000000001E-11, -5.5E-12
DataValue, 0.22, -1.49E-11, -6.4E-12
DataValue, 0.234, -1.392E-11, -6.36E-12
DataValue, 0.248, -1.3880000000000001E-11, -7.06E-12
DataValue, 0.262, -1.468E-11, -3.51E-12
DataValue, 0.276, -1.444E-11, -3.9800000000000004E-12
DataValue, 0.29000000000000004, -1.52E-11, -4.72E-12
DataValue, 0.304, -1.568E-11, -4.6900000000000004E-12
DataValue, 0.318, -1.551E-11, -6.36E-12
DataValue, 0.332, -1.5340000000000002E-11, -5.55E-12
DataValue, 0.34600000000000003, -1.54E-11, -6.35E-12
DataValue, 0.36000000000000004, -1.6070000000000002E-11, -3.72E-12
DataValue, 0.374, -1.6540000000000002E-11, -3.1400000000000004E-12
DataValue, 0.388, -1.6690000000000003E-11, -4.73E-12
