
SetupTitle, ID-VG-FinFET
PrimitiveTest, I/V Sweep
TestParameter, Context.MainFrame, B1500A
TestParameter, Channel.UnitType, SMU, SMU, SMU
TestParameter, Channel.Unit, SMU1:HP, SMU2:HR, SMU3:MP
TestParameter, Channel.IName, IG, ID, IS
TestParameter, Channel.VName, VG, VD, VS
TestParameter, Channel.Mode, V, V, COMMON
TestParameter, Channel.Func, VAR1, VAR2, CONST
TestParameter, Channel.Index, 
TestParameter, Channel.Time, 
TestParameter, Measurement.Port.Unit, SMU1:HP, SMU2:HR, SMU3:MP
TestParameter, Measurement.Port.SeriesResistor, NONE, NONE, NONE
TestParameter, Measurement.Port.Filter, ON, ON, ON
TestParameter, Measurement.Port.OutputVoltageComparison, 0, 0, 0
TestParameter, Measurement.Primary.Locus, Double
TestParameter, Measurement.Primary.Scale, LINEAR
TestParameter, Measurement.Primary.Start, 0.5
TestParameter, Measurement.Primary.Stop, -2
TestParameter, Measurement.Primary.Step, -0.025
TestParameter, Measurement.Primary.Compliance, 1E-05
TestParameter, Measurement.Primary.PowerCompliance, 0
TestParameter, Measurement.Aborting.Condition, CONTINUE AT ANY
TestParameter, Measurement.PostOutput.Value, START
TestParameter, Measurement.PostOutput.Retention, OFF
TestParameter, Measurement.Secondary.Start, -0.05
TestParameter, Measurement.Secondary.Count, 1
TestParameter, Measurement.Secondary.Step, -0.45
TestParameter, Measurement.Secondary.Compliance, 0.02
TestParameter, Measurement.Secondary.PowerCompliance, 0
TestParameter, Measurement.Bias.Source, 0.5, -0.05, 0
TestParameter, Measurement.Bias.Compliance, 1E-05, 0.02, 0.1
TestParameter, Measurement.Monitor.Unit, SMU1:HP, SMU2:HR, SMU3:MP
TestParameter, Measurement.Monitor.Adc, HR ADC, HR ADC, HR ADC
TestParameter, Measurement.Monitor.Measurement, Compliance Side, Compliance Side, Compliance Side
TestParameter, Measurement.Monitor.RangingMode, LIMITED, LIMITED, LIMITED
TestParameter, Measurement.Monitor.RangeBoundary, 1nA, 1nA, 1nA
